game_id,drive,play_count,run_pct,pass_pct,success_rate,avg_epa,start_yardline,end_yardline,drive_result,field_pos_gain,cluster
2016_01_TB_ATL,1.0,5,0.4,0.2,0.0,-0.697289813589304,,,Punt,,0
2016_01_TB_ATL,3.0,6,0.0,0.6666666666666666,0.3333333333333333,0.21104306719886656,,,Field goal,,2
2016_01_TB_ATL,5.0,4,0.5,0.25,0.25,-0.537614176748321,,,Punt,,0
2016_01_TB_ATL,7.0,7,0.14285714285714285,0.42857142857142855,0.7142857142857143,0.2517647005071635,,,Touchdown,,1
2016_01_TB_ATL,9.0,8,0.375,0.375,0.25,-0.2199899362167336,,,Punt,,0
2016_01_TB_ATL,11.0,8,0.375,0.375,0.25,0.12596688204212048,,,Field goal,,0
2016_01_TB_ATL,13.0,2,0.5,0.0,0.0,-0.112906524853315,,,End of half,,0
2016_01_TB_ATL,15.0,9,0.2222222222222222,0.5555555555555556,0.5555555555555556,-0.15790385248449954,,50.0,Punt,,1
2016_01_TB_ATL,17.0,11,0.18181818181818182,0.7272727272727273,0.7272727272727273,0.5782159224975514,,,Touchdown,,1
2016_01_TB_ATL,19.0,7,0.2857142857142857,0.5714285714285714,0.5714285714285714,-0.09141964209265944,,,Punt,,1
2016_01_TB_ATL,21.0,11,0.36363636363636365,0.5454545454545454,0.45454545454545453,0.05570528326048043,,,Field goal,,1
2016_01_TB_ATL,23.0,5,0.0,1.0,0.2,-0.5925786865991538,,,Turnover on downs,,2
2016_02_ATL_OAK,1.0,13,0.3076923076923077,0.38461538461538464,0.5384615384615384,-0.05041153859705323,,,Punt,,1
2016_02_ATL_OAK,3.0,7,0.42857142857142855,0.42857142857142855,0.2857142857142857,-0.19272440974600594,,,Punt,,0
2016_02_ATL_OAK,5.0,11,0.4166666666666667,0.4166666666666667,0.6666666666666666,0.28088646050309823,,,Field goal,,1
2016_02_ATL_OAK,7.0,12,0.25,0.5833333333333334,0.5833333333333334,0.49836514343895244,,,Touchdown,,1
2016_02_ATL_OAK,9.0,4,0.5,0.25,0.5,-0.42699931438255717,,,Field goal,,0
2016_02_ATL_OAK,12.0,5,0.4,0.4,0.4,-0.34841827852651475,,,Turnover,,0
2016_02_ATL_OAK,14.0,6,0.3333333333333333,0.6666666666666666,1.0,1.3511988731989,,,Touchdown,,1
